cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
559,7,5.95833333333334,49.9083333333333,3,4,7,0
559,8,5.95833333333334,49.9083333333333,6,6,13,0
560,0,5.96666666666668,49.9083333333333,2,4,3,0
560,1,5.96666666666668,49.9083333333333,2,6,3,0
560,2,5.96666666666668,49.9083333333333,1,3,2,0
560,3,5.96666666666668,49.9083333333333,1,3,2,0
560,4,5.96666666666668,49.9083333333333,1,8,2,0
560,5,5.96666666666668,49.9083333333333,2,5,3,0
560,6,5.96666666666668,49.9083333333333,3,8,5,0
560,7,5.96666666666668,49.9083333333333,1,8,1,0
560,8,5.96666666666668,49.9083333333333,1,5,1,0
561,0,5.98333333333334,49.9083333333333,0,5,0,0
561,1,5.98333333333334,49.9083333333333,0,10,0,0
561,2,5.98333333333334,49.9083333333333,0,3,0,0
561,3,5.98333333333334,49.9083333333333,1,7,1,0
561,4,5.98333333333334,49.9083333333333,0,3,0,0
561,5,5.98333333333334,49.9083333333333,0,5,0,0
561,6,5.98333333333334,49.9083333333333,0,1,0,0
561,7,5.98333333333334,49.9083333333333,0,6,0,0
561,8,5.98333333333334,49.9083333333333,0,2,0,0
562,0,5.99166666666668,49.9083333333333,1,4,1,0
562,1,5.99166666666668,49.9083333333333,0,3,0,0
562,2,5.99166666666668,49.9083333333333,0,5,0,0
562,3,5.99166666666668,49.9083333333333,0,2,0,0
562,4,5.99166666666668,49.9083333333333,0,4,0,0
562,5,5.99166666666668,49.9083333333333,0,6,0,0
562,6,5.99166666666668,49.9083333333333,0,6,0,0
562,7,5.99166666666668,49.9083333333333,1,5,2,0
562,8,5.99166666666668,49.9083333333333,1,1,1,0
563,0,6.03333333333334,49.9083333333333,1,7,2,0
563,1,6.03333333333334,49.9083333333333,3,9,5,0
563,2,6.03333333333334,49.9083333333333,3,1,5,0
563,3,6.03333333333334,49.9083333333333,2,2,4,0
563,4,6.03333333333334,49.9083333333333,4,3,8,0
563,5,6.03333333333334,49.9083333333333,2,4,4,0
563,6,6.03333333333334,49.9083333333333,3,6,5,0
563,7,6.03333333333334,49.9083333333333,2,4,4,0
563,8,6.03333333333334,49.9083333333333,3,3,5,0
564,0,6.04166666666668,49.9083333333333,0,8,0,0
564,1,6.04166666666668,49.9083333333333,1,7,1,0
564,2,6.04166666666668,49.9083333333333,0,5,0,0
564,3,6.04166666666668,49.9083333333333,0,10,0,0
564,4,6.04166666666668,49.9083333333333,1,8,1,0
564,5,6.04166666666668,49.9083333333333,1,6,2,0
564,6,6.04166666666668,49.9083333333333,0,4,0,0
564,7,6.04166666666668,49.9083333333333,1,8,2,0
564,8,6.04166666666668,49.9083333333333,0,2,0,0
565,0,6.05000000000001,49.9083333333333,0,3,0,0
565,1,6.05000000000001,49.9083333333333,0,10,0,0
565,2,6.05000000000001,49.9083333333333,0,6,0,0
565,3,6.05000000000001,49.9083333333333,0,9,0,0
565,4,6.05000000000001,49.9083333333333,1,3,1,0
565,5,6.05000000000001,49.9083333333333,1,8,1,0
565,6,6.05000000000001,49.9083333333333,0,5,0,0
565,7,6.05000000000001,49.9083333333333,0,9,0,0
565,8,6.05000000000001,49.9083333333333,0,9,0,0
566,0,6.05833333333334,49.9083333333333,3,5,6,0
566,1,6.05833333333334,49.9083333333333,3,12,7,0
566,2,6.05833333333334,49.9083333333333,3,8,7,0
566,3,6.05833333333334,49.9083333333333,5,4,10,0
566,4,6.05833333333334,49.9083333333333,4,4,8,0
566,5,6.05833333333334,49.9083333333333,3,5,5,0
566,6,6.05833333333334,49.9083333333333,3,5,7,0
566,7,6.05833333333334,49.9083333333333,5,6,10,0
566,8,6.05833333333334,49.9083333333333,4,5,9,0
567,0,6.06666666666668,49.9083333333333,1,3,2,0
567,1,6.06666666666668,49.9083333333333,1,7,2,0
567,2,6.06666666666668,49.9083333333333,2,5,4,0
567,3,6.06666666666668,49.9083333333333,3,5,5,0
567,4,6.06666666666668,49.9083333333333,2,5,4,0
567,5,6.06666666666668,49.9083333333333,3,3,5,0
567,6,6.06666666666668,49.9083333333333,1,6,2,0
567,7,6.06666666666668,49.9083333333333,3,7,5,0
567,8,6.06666666666668,49.9083333333333,2,3,4,0
568,0,6.07500000000001,49.9083333333333,0,6,0,0
568,1,6.07500000000001,49.9083333333333,0,6,0,0
568,2,6.07500000000001,49.9083333333333,0,3,0,0
568,3,6.07500000000001,49.9083333333333,1,7,1,0
568,4,6.07500000000001,49.9083333333333,0,4,0,0
568,5,6.07500000000001,49.9083333333333,1,3,1,0
568,6,6.07500000000001,49.9083333333333,1,7,2,0
568,7,6.07500000000001,49.9083333333333,1,6,1,0
568,8,6.07500000000001,49.9083333333333,0,3,0,0
569,0,6.08333333333334,49.9083333333333,3,7,5,0
569,1,6.08333333333334,49.9083333333333,0,11,0,0
569,2,6.08333333333334,49.9083333333333,3,3,6,0
569,3,6.08333333333334,49.9083333333333,1,3,1,0
569,4,6.08333333333334,49.9083333333333,3,7,5,0
569,5,6.08333333333334,49.9083333333333,2,7,3,0
569,6,6.08333333333334,49.9083333333333,2,3,3,0
569,7,6.08333333333334,49.9083333333333,2,7,3,0
569,8,6.08333333333334,49.9083333333333,3,2,7,0
570,0,6.09166666666668,49.9083333333333,0,2,0,0
570,1,6.09166666666668,49.9083333333333,0,10,0,0
570,2,6.09166666666668,49.9083333333333,0,7,0,0
570,3,6.09166666666668,49.9083333333333,0,2,0,0
570,4,6.09166666666668,49.9083333333333,0,3,0,0
570,5,6.09166666666668,49.9083333333333,1,5,1,0
570,6,6.09166666666668,49.9083333333333,0,4,0,0
570,7,6.09166666666668,49.9083333333333,0,2,0,0
570,8,6.09166666666668,49.9083333333333,0,4,0,0
571,0,6.10000000000001,49.9083333333333,1,6,2,0
571,1,6.10000000000001,49.9083333333333,1,1,1,0
571,2,6.10000000000001,49.9083333333333,0,3,0,0
571,3,6.10000000000001,49.9083333333333,0,6,0,0
571,4,6.10000000000001,49.9083333333333,0,1,0,0
571,5,6.10000000000001,49.9083333333333,0,4,0,0
571,6,6.10000000000001,49.9083333333333,2,6,3,0
571,7,6.10000000000001,49.9083333333333,0,7,0,0
571,8,6.10000000000001,49.9083333333333,0,2,0,0
572,0,6.10833333333334,49.9083333333333,2,5,3,0
572,1,6.10833333333334,49.9083333333333,2,5,3,0
